2,Cannonball
6,Cannon base
8,Cannon stand
10,Cannon barrels
12,Cannon furnace
36,Candle
39,Bronze arrowheads
40,Iron arrowheads
41,Steel arrowheads
42,Mithril arrowheads
43,Adamant arrowheads
44,Rune arrowheads
45,Opal bolt tips
46,Pearl bolt tips
47,Barb bolttips
48,Longbow (u)
50,Shortbow (u)
52,Arrow shaft
53,Headless arrow
54,Oak shortbow (u)
56,Oak longbow (u)
58,Willow longbow (u)
60,Willow shortbow (u)
62,Maple longbow (u)
64,Maple shortbow (u)
66,Yew longbow (u)
68,Yew shortbow (u)
70,Magic longbow (u)
72,Magic shortbow (u)
91,Guam potion (unf)
93,Marrentill potion (unf)
95,Tarromin potion (unf)
97,Harralander potion (unf)
99,Ranarr potion (unf)
101,Irit potion (unf)
103,Avantoe potion (unf)
105,Kwuarm potion (unf)
107,Cadantine potion (unf)
109,Dwarf weed potion (unf)
111,Torstol potion (unf)
113,Strength potion (4)
115,Strength potion (3)
117,Strength potion (2)
119,Strength potion (1)
121,Attack potion (3)
123,Attack potion (2)
125,Attack potion (1)
127,Restore potion (3)
129,Restore potion (2)
131,Restore potion (1)
133,Defence potion (3)
135,Defence potion (2)
137,Defence potion (1)
139,Prayer potion (3)
141,Prayer potion (2)
143,Prayer potion (1)
145,Super attack (3)
147,Super attack (2)
149,Super attack (1)
151,Fishing potion (3)
153,Fishing potion (2)
155,Fishing potion (1)
157,Super strength (3)
159,Super strength (2)
161,Super strength (1)
163,Super defence (3)
165,Super defence (2)
167,Super defence (1)
169,Ranging potion (3)
171,Ranging potion (2)
173,Ranging potion (1)
175,Antipoison (3)
177,Antipoison (2)
179,Antipoison (1)
181,Super antipoison (3)
183,Super antipoison (2)
185,Super antipoison (1)
187,Weapon poison
189,Zamorak brew (3)
191,Zamorak brew (2)
193,Zamorak brew (1)
195,Potion
197,Poison chalice
199,Grimy guam
201,Grimy marrentill
203,Grimy tarromin
205,Grimy harralander
207,Grimy ranarr
209,Grimy irit
211,Grimy avantoe
213,Grimy kwuarm
215,Grimy cadantine
217,Grimy dwarf weed
219,Grimy torstol
221,Eye of newt
223,Red spiders' eggs
225,Limpwurt root
227,Vial of water
229,Vial
231,Snape grass
233,Pestle and mortar
235,Unicorn horn dust
237,Unicorn horn
239,White berries
241,Dragon scale dust
243,Blue dragon scale
245,Wine of zamorak
247,Jangerberries
249,Clean guam
251,Clean marrentill
253,Clean tarromin
255,Clean harralander
257,Clean ranarr
259,Clean irit
261,Clean avantoe
263,Clean kwuarm
265,Clean cadantine
267,Clean dwarf weed
269,Clean torstol
288,Goblin mail
299,Mithril seeds
301,Lobster pot
303,Small fishing net
305,Big fishing net
307,Fishing rod
309,Fly fishing rod
311,Harpoon
313,Fishing bait
314,Feather
315,Shrimps
317,Raw shrimps
319,Anchovies
321,Raw anchovies
325,Sardine
327,Raw sardine
329,Salmon
331,Raw salmon
333,Trout
335,Raw trout
339,Cod
341,Raw cod
345,Raw herring
347,Herring
349,Raw pike
351,Pike
353,Raw mackerel
355,Mackerel
359,Raw tuna
361,Tuna
